id	filename	md5	size	state
08ebd1fd-e8f0-499c-b6ea-a924e410cae0	08ebd1fd-e8f0-499c-b6ea-a924e410cae0/3f12c73c-8614-4936-bc22-0d7e458c291a.wxs.aliquot_ensemble_masked.maf.gz	bb02bc147293e51ab35ab8c1b29676ac	14657	validated
098cd12a-f749-41ad-842c-bb21272962cd	098cd12a-f749-41ad-842c-bb21272962cd/3fe16224-3c25-4557-8cd8-e214be335edd.wxs.aliquot_ensemble_masked.maf.gz	18138e8dbfcbfcd9db38f884e8d49023	41548	validated
09ae5855-81e2-43dc-8128-d6b0889601f2	09ae5855-81e2-43dc-8128-d6b0889601f2/f1a11be0-acb0-4ce6-8aab-944ca92b2631.wxs.aliquot_ensemble_masked.maf.gz	412ae0588920be310c11fc9b45c5ac62	152915	validated
0a52094d-79a1-404b-9137-c444d365b9f4	0a52094d-79a1-404b-9137-c444d365b9f4/2a9bbd2e-f2f9-44c3-8bfa-6995c07cf8d2.wxs.aliquot_ensemble_masked.maf.gz	19f36ead9e1de1d99a54a4504a1651d5	22036	validated
0a7e3be6-ff03-453c-b928-3d7bfde377b5	0a7e3be6-ff03-453c-b928-3d7bfde377b5/9dbd4c1b-5677-4928-a43e-7fe76e393228.wxs.aliquot_ensemble_masked.maf.gz	cf886ac5a9a73a3c76dba096854b8a4a	42976	validated
0aaa4292-a000-446b-ba93-c89a33c50969	0aaa4292-a000-446b-ba93-c89a33c50969/6115cee9-5aeb-4fc0-aef4-9ecaff2a7010.wxs.aliquot_ensemble_masked.maf.gz	a14c8d1ad52f5226b83a0b3564aa0177	53066	validated
0b263579-05f0-4fc7-9321-ef3213367632	0b263579-05f0-4fc7-9321-ef3213367632/6aba0615-7ddc-47db-bc3a-14188307ebdf.wxs.aliquot_ensemble_masked.maf.gz	c1dd06d7c4a3825a386d5074c192a7f0	46702	validated
0c2928c2-1d32-421a-aee2-d93bbb811ab6	0c2928c2-1d32-421a-aee2-d93bbb811ab6/f813abcc-f56e-4e9f-9c98-e410afbd7854.wxs.aliquot_ensemble_masked.maf.gz	32ae815e0ea0ae3303143391c1774acf	28801	validated
0d7fd4b0-0fb8-400c-b9c5-03f0baac0a4f	0d7fd4b0-0fb8-400c-b9c5-03f0baac0a4f/2a5ad738-484a-41a7-918a-5f76e18f5758.wxs.aliquot_ensemble_masked.maf.gz	ff5e230182e5e69e14765df706fca8c6	42788	validated
0df6e66a-38bd-4d34-96b4-e58239c182ba	0df6e66a-38bd-4d34-96b4-e58239c182ba/a2277b1c-8f52-4ba1-aa1c-0b4957f43519.wxs.aliquot_ensemble_masked.maf.gz	cfddb2e9b0a266f13040237e0295d8a8	1140	validated
